appearance,mins_played,assist,ball_recovery,clearance_total,dribble_won,duel_aerial_won,foul_committed,foul_given,interception_all,pass_key,tackle_won,goals,class,name
8,546,0,40,4,3,2,5,11,3,8,11,2,unknown,Ganso
1,58,0,3,0,0,0,2,0,0,1,1,0,unknown,Borja Lasso
26,1611,1,37,2,24,20,24,13,2,16,7,7,unknown,Luis Muriel
28,2262,2,208,12,71,10,37,46,10,57,51,2,unknown,�ver Banega
22,1742,0,114,38,16,40,41,23,28,7,43,1,unknown,Guido Pizarro
22,1915,1,104,66,3,36,28,15,40,8,34,0,unknown,Gabriel Mercado
23,2105,2,128,46,23,46,28,36,49,10,36,0,unknown,Sergio Escudero
22,1592,2,57,2,11,12,17,18,5,22,8,6,unknown,Wissam Ben Yedder
20,1241,1,65,11,38,15,26,43,2,22,9,2,unknown,Joaqu�n Correa
24,2300,0,186,23,0,11,1,3,0,0,1,0,unknown,Sergio Rico
3,238,0,12,15,0,6,8,1,8,0,5,0,unknown,Nico Pareja
13,581,1,33,6,8,1,3,3,4,3,7,1,unknown,Michael Krohn-Dehli
1,78,0,5,3,0,1,3,2,0,1,1,0,unknown,Walter Montoya
0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,Juan Soriano
5,482,0,35,19,0,12,5,0,10,2,7,0,unknown,Daniel Carri�o
12,624,1,53,23,0,5,7,2,9,4,12,0,unknown,Johannes Geis
25,1683,5,101,11,27,32,38,57,8,33,26,4,unknown,Franco V�zquez
32,3120,0,274,48,0,8,1,2,3,0,0,0,unknown,Hugo Lloris
27,2321,6,98,59,11,40,21,24,24,44,32,2,unknown,Ben Davies
2,110,0,6,3,1,1,0,2,1,1,3,0,unknown,Kyle Walker-Peters
33,3182,0,227,144,24,111,17,23,62,12,43,0,unknown,Jan Vertonghen
11,1076,0,49,43,5,13,7,1,2,3,13,0,unknown,Toby Alderweireld
32,2856,2,157,76,9,76,22,8,41,14,44,0,unknown,Eric Dier
32,2888,10,162,20,40,28,39,81,23,62,24,8,unknown,Dele Alli
27,1949,0,173,10,64,9,46,27,30,17,25,0,unknown,Mousa Demb�l�
30,1343,1,91,18,14,12,20,7,9,25,13,1,unknown,Moussa Sissoko
33,3074,8,206,11,24,16,13,18,28,82,26,11,unknown,Christian Eriksen
33,2919,2,55,17,43,49,31,36,3,32,16,25,unknown,Harry Kane
33,2267,5,80,8,59,1,13,25,12,34,11,12,unknown,Son Heung-Min
0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,Kevin Wimmer
16,854,1,53,6,9,3,8,7,9,10,10,0,unknown,Harry Winks
1,98,0,9,1,0,0,0,0,0,0,0,0,unknown,Michel Vorm
14,620,0,57,8,12,10,7,7,6,3,14,1,unknown,Victor Wanyama
21,1795,4,125,38,12,31,16,17,18,33,30,0,unknown,Kieran Trippier
27,2436,0,144,138,8,64,25,17,40,3,21,0,unknown,Davinson S�nchez
0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,Tashan Oakley-Boothe
17,1542,2,90,43,15,52,21,16,31,15,30,2,unknown,Serge Aurier
15,288,0,4,6,0,12,4,4,0,4,3,1,unknown,Fernando Llorente
